Customer_ID,Last_Order_Date,Recency_Days,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment,Value_Segment
CUST-0001,2025-10-20,72,3,141586.58000000002,2,1,1,211,Lost Customers,Low Value
CUST-0002,2025-12-07,24,5,313041.7,4,2,3,423,New Customers,Medium Value
CUST-0003,2025-12-30,1,4,42371.22,5,1,1,511,New Customers,Low Value
CUST-0004,2025-10-26,66,7,266861.57999999996,2,3,2,232,At Risk,Medium Value
CUST-0005,2025-12-15,16,8,474047.32,4,4,4,444,Champions,Medium Value
CUST-0006,2025-12-16,15,9,1078923.31,4,4,5,445,Champions,High Value
CUST-0007,2025-09-29,93,6,756485.9,1,2,5,125,Lost Customers,High Value
CUST-0008,2025-09-17,105,5,316449.56,1,2,3,123,Lost Customers,Medium Value
CUST-0009,2025-12-28,3,12,286777.26,5,5,3,553,Loyal Customers,Medium Value
CUST-0010,2025-11-14,47,6,288792.65,3,2,3,323,Potential Customers,Medium Value
CUST-0011,2025-11-29,32,4,128717.15,3,1,1,311,Potential Customers,Low Value
CUST-0012,2025-11-20,41,9,171457.79,3,4,2,342,Loyal Customers,Low Value
CUST-0013,2025-10-06,86,3,133613.08,1,1,1,111,Lost Customers,Low Value
CUST-0014,2025-12-27,4,8,853414.75,5,4,5,545,Champions,High Value
CUST-0015,2025-10-27,65,8,1185551.67,2,4,5,245,At Risk,High Value
CUST-0016,2025-12-20,11,7,703574.91,5,3,5,535,Loyal Customers,High Value
CUST-0017,2025-04-30,245,3,287190.31,1,1,3,113,Lost Customers,Medium Value
CUST-0018,2025-12-23,8,5,565292.22,5,2,4,524,New Customers,High Value
CUST-0019,2025-12-21,10,10,359183.79,5,5,3,553,Loyal Customers,Medium Value
CUST-0020,2025-10-06,86,4,74121.11,1,1,1,111,Lost Customers,Low Value
CUST-0021,2025-12-30,1,8,161891.54,5,4,2,542,Loyal Customers,Low Value
CUST-0022,2025-12-29,2,7,538489.8400000001,5,3,4,534,Loyal Customers,High Value
CUST-0023,2025-12-16,15,10,360701.83999999997,4,5,3,453,Loyal Customers,Medium Value
CUST-0024,2025-08-02,151,5,143500.62,1,2,1,121,Lost Customers,Low Value
CUST-0025,2025-10-27,65,8,419788.88,2,4,3,243,At Risk,Medium Value
CUST-0026,2025-10-12,80,7,686035.3300000001,2,3,5,235,At Risk,High Value
CUST-0027,2025-11-13,48,8,88360.18,3,4,1,341,Loyal Customers,Low Value
